x: -0.103775024414062, y: 0.170486450195312, z: -0.980850219726562, 
x: -0.0974273681640625, y: 0.180755615234375, z: -0.972412109375, 
x: -0.0900726318359375, y: 0.1624755859375, z: -0.962661743164062, 
x: -0.0880889892578125, y: 0.135391235351562, z: -0.960342407226562, 
x: -0.08807373046875, y: 0.110794067382812, z: -0.960479736328125, 
x: -0.0988311767578125, y: 0.0895843505859375, z: -0.952682495117188, 
x: -0.11151123046875, y: 0.0913848876953125, z: -0.995101928710938, 
x: -0.119857788085938, y: 0.119522094726562, z: -1.00726318359375, 
x: -0.113998413085938, y: 0.15399169921875, z: -1.01200866699219, 
x: -0.092010498046875, y: 0.185379028320312, z: -1.00003051757812, 
x: -0.066131591796875, y: 0.200759887695312, z: -0.951141357421875, 
x: -0.093994140625, y: 0.186676025390625, z: -0.974365234375, 
x: -0.109161376953125, y: 0.183319091796875, z: -0.985702514648438, 
x: -0.112579345703125, y: 0.177963256835938, z: -0.991653442382812, 
x: -0.115066528320312, y: 0.154022216796875, z: -0.946868896484375, 
x: -0.113525390625, y: 0.120223999023438, z: -0.968780517578125, 
x: -0.117431640625, y: 0.081756591796875, z: -0.9576416015625, 
x: -0.116409301757812, y: 0.059722900390625, z: -0.972564697265625, 
x: -0.10516357421875, y: 0.0636138916015625, z: -0.965652465820312, 
x: -0.0988006591796875, y: 0.0868072509765625, z: -0.97540283203125, 
x: -0.0929412841796875, y: 0.135635375976562, z: -0.993896484375, 
x: -0.089569091796875, y: 0.186782836914062, z: -0.990158081054688, 
x: -0.101852416992188, y: 0.231094360351562, z: -0.991867065429688, 
x: -0.104354858398438, y: 0.269912719726562, z: -0.9847412109375, 
x: -0.107803344726562, y: 0.2777099609375, z: -0.97283935546875, 
x: -0.1063232421875, y: 0.264923095703125, z: -0.974884033203125, 
x: -0.09259033203125, y: 0.254135131835938, z: -0.981887817382812, 
x: -0.0837554931640625, y: 0.228530883789062, z: -0.979080200195312, 
x: -0.086639404296875, y: 0.1788330078125, z: -0.978363037109375, 
x: -0.0914764404296875, y: 0.128692626953125, z: -0.986038208007812, 
x: -0.0816650390625, y: 0.104080200195312, z: -0.984222412109375, 
x: -0.0743255615234375, y: 0.103073120117188, z: -0.981765747070312, 
x: -0.0836334228515625, y: 0.10992431640625, z: -0.977279663085938, 
x: -0.0919952392578125, y: 0.12957763671875, z: -0.971221923828125, 
x: -0.0915374755859375, y: 0.163040161132812, z: -0.972030639648438, 
x: -0.089111328125, y: 0.20050048828125, z: -0.982192993164062, 
x: -0.0837249755859375, y: 0.208892822265625, z: -0.985107421875, 
x: -0.084686279296875, y: 0.201522827148438, z: -0.98712158203125, 
x: -0.0979156494140625, y: 0.190170288085938, z: -0.981246948242188, 
x: -0.109161376953125, y: 0.177871704101562, z: -0.980300903320312, 
x: -0.117477416992188, y: 0.158676147460938, z: -0.978927612304688, 
x: -0.116958618164062, y: 0.13653564453125, z: -0.979049682617188, 
x: -0.115005493164062, y: 0.12518310546875, z: -0.97418212890625, 
x: -0.110595703125, y: 0.129623413085938, z: -0.97613525390625, 
x: -0.097381591796875, y: 0.145889282226562, z: -0.981979370117188, 
x: -0.0871124267578125, y: 0.166595458984375, z: -0.987808227539062, 
x: -0.0895538330078125, y: 0.177474975585938, z: -0.995635986328125, 
x: -0.101318359375, y: 0.176956176757812, z: -0.989700317382812, 
x: -0.106719970703125, y: 0.177871704101562, z: -0.979812622070312, 
x: -0.103302001953125, y: 0.183258056640625, z: -0.977325439453125, 
x: -0.0959625244140625, y: 0.188644409179688, z: -0.974349975585938, 
x: -0.0930328369140625, y: 0.176727294921875, z: -0.960113525390625, 
x: -0.0973968505859375, y: 0.16162109375, z: -0.97894287109375, 
x: -0.096405029296875, y: 0.157211303710938, z: -0.981430053710938, 
x: -0.0866241455078125, y: 0.146255493164062, z: -0.965713500976562, 
x: -0.078765869140625, y: 0.126129150390625, z: -0.972259521484375, 
x: -0.0650177001953125, y: 0.114395141601562, z: -0.98419189453125, 
x: -0.0669708251953125, y: 0.0991363525390625, z: -0.983779907226562, 
x: -0.078704833984375, y: 0.0878448486328125, z: -0.985305786132812, 
x: -0.0865325927734375, y: 0.089874267578125, z: -0.993667602539062, 
x: -0.0880126953125, y: 0.103668212890625, z: -0.995559692382812, 
x: -0.09832763671875, y: 0.122283935546875, z: -0.984085083007812, 
x: -0.116012573242188, y: 0.14581298828125, z: -0.969131469726562, 
